(0, 6):for 	 p.Purpose
(377, 12):their 	 p.Gestalt
(378, 12):except 	 p.PartPortion
(379, 8):about 	 p.Topic
(379, 17):for 	 p.Beneficiary
(379, 20):my 	 p.Possessor
(380, 8):than 	 p.ComparisonRef
(381, 6):for 	 p.Beneficiary
(381, 9):for 	 p.Purpose
(382, 6):my 	 p.SocialRel
(382, 9):for 	 p.Duration
(382, 21):with 	 p.Ancillary
(382, 23):besides 	 p.PartPortion
(383, 10):about 	 p.Stimulus
(383, 11):her 	 p.Agent
(384, 22):with 	 p.Possessor
(385, 3):my 	 p.Possessor
(385, 8):to 	 p.Purpose
(386, 6):to 	 p.Theme
(386, 13):to 	 p.Theme
(387, 6):of 	 p.QuantityItem
(388, 5):with 	 p.Stimulus
(388, 10):of 	 p.Gestalt
(388, 14):at 	 p.Org
(389, 6):in 	 p.Time
(390, 13):to 	 p.Theme
(391, 7):to 	 p.Recipient
(391, 18):'s 	 p.Gestalt
(392, 5):in 	 p.Time
(392, 30):away 	 p.Direction
(393, 4):with 	 p.Instrument
(393, 6):of 	 p.QuantityItem
(394, 3):my 	 p.Originator
(394, 10):to 	 p.Goal
(394, 15):in 	 p.Direction
(394, 16):to 	 p.Purpose
(394, 18):my 	 p.Possessor
(394, 20):as 	 p.ComparisonRef
(394, 27):since 	 p.Explanation
(394, 31):away 	 p.Direction
(395, 9):of 	 p.Topic
(395, 12):my 	 p.Possessor
(395, 29):to 	 p.Purpose
(395, 34):of 	 p.Identity
(395, 36):my 	 p.Possessor
(396, 9):after 	 p.Time
(396, 35):of 	 p.Topic
(396, 41):to 	 p.Recipient
(396, 42):in 	 p.Manner
(397, 11):by 	 p.Agent
(397, 18):'s 	 p.SocialRel
(398, 2):for 	 p.Beneficiary
(399, 7):to 	 p.Recipient
(400, 9):to 	 p.ComparisonRef
(400, 14):from 	 p.Originator
(401, 5):on 	 p.Locus
(402, 16):for 	 p.Topic
(402, 17):his 	 p.SocialRel
(402, 19):' 	 p.Gestalt
(402, 26):their 	 p.Recipient
(403, 9):his 	 p.Gestalt
(403, 19):his 	 p.Gestalt
(403, 21):of 	 p.Gestalt
(404, 1):In 	 p.Duration
(404, 19):off 	 p.Source
(404, 29):my 	 p.Originator
(404, 32):with 	 p.Manner
(405, 5):to 	 p.Goal
(405, 7):for 	 p.Purpose
(405, 8):my 	 p.Possessor
(405, 20):to 	 p.Goal
(405, 24):for 	 p.Purpose
(405, 25):their 	 p.Agent
(406, 20):than 	 p.ComparisonRef
(407, 3):in 	 p.Direction
(407, 4):for 	 p.Purpose
(407, 16):about 	 p.Topic
(407, 21):on 	 p.Gestalt
(407, 22):my 	 p.Possessor
(408, 4):to 	 p.Goal
(408, 9):out 	 p.Direction
(408, 14):my 	 p.Possessor
(409, 7):from 	 p.Originator
(409, 14):to 	 p.Recipient
(410, 3):in 	 p.Locus
(410, 7):for 	 p.Purpose
(410, 11):from 	 p.Source
(411, 10):to 	 p.Beneficiary
(411, 11):our 	 p.OrgMember
(411, 18):in 	 p.Circumstance
(412, 13):to 	 p.Purpose
(412, 15):my 	 p.SocialRel
(412, 21):from 	 p.Source
(413, 5):with 	 p.Topic
(413, 25):for 	 p.Topic
(414, 5):in 	 p.Topic
(414, 7):in 	 p.Locus
(414, 10):with 	 p.OrgMember
(414, 12):like 	 p.PartPortion
(414, 22):at 	 p.Cost
(414, 23):its 	 p.Gestalt
(414, 27):after 	 p.Time
(415, 18):to 	 p.Purpose
(415, 27):my 	 p.Agent
(415, 31):my 	 p.OrgMember
(415, 33):'s 	 p.Agent
(415, 36):my 	 p.SocialRel
(416, 10):out 	 p.Direction
(417, 3):with 	 p.Characteristic
(418, 6):to 	 p.Stimulus
(418, 7):my 	 p.Experiencer
(419, 12):to 	 p.ComparisonRef
(419, 18):with 	 p.Topic
(420, 10):for 	 p.Purpose
(421, 1):Their 	 p.Originator
(422, 2):of 	 p.Gestalt
(423, 3):at 	 p.Locus
(424, 1):To 	 p.Purpose
(424, 10):to 	 p.Goal
(424, 12):of 	 p.Whole
(425, 7):to 	 p.Goal
(425, 14):at 	 p.Stimulus
(425, 19):My 	 p.OrgMember
(426, 6):to 	 p.Purpose
(426, 9):my 	 p.Possessor
(427, 6):at 	 p.Locus
(427, 9):for 	 p.Duration
(427, 18):for 	 p.Purpose
(427, 21):as 	 p.Frequency
(427, 23):as 	 p.ComparisonRef
(428, 6):towards 	 p.Beneficiary
(428, 11):like 	 p.Manner
(428, 16):of 	 p.Characteristic
(429, 18):of 	 p.Species
(430, 12):to 	 p.Recipient
(430, 18):in 	 p.Locus
(431, 5):to 	 p.Goal
(431, 8):as 	 p.Duration
(431, 10):as 	 p.ComparisonRef
(432, 6):away 	 p.Locus
(432, 15):to 	 p.Purpose
(433, 8):my 	 p.Possessor
(433, 10):to 	 p.Goal
(433, 17):my 	 p.Possessor
(434, 5):at 	 p.Locus
(435, 5):by 	 p.Originator
(435, 7):after 	 p.Explanation
(435, 8):my 	 p.Experiencer
(435, 13):in 	 p.Locus
(436, 13):for 	 p.Purpose
(436, 14):my 	 p.Possessor
(437, 11):like 	 p.Manner
(437, 17):around 	 p.Path
(438, 14):in 	 p.Locus
(439, 3):their 	 p.Agent
(439, 13):to 	 p.Purpose
(440, 3):of 	 p.Whole
(441, 9):of 	 p.Whole
(442, 2):of 	 p.QuantityItem
(442, 7):of 	 p.Stimulus
(442, 8):your 	 p.Agent
(442, 11):throughout 	 p.Duration
(443, 7):of 	 p.Whole
(444, 5):of 	 p.Whole
(445, 3):to 	 p.Recipient
(446, 3):to 	 p.Recipient
(447, 3):to 	 p.Recipient
(448, 11):in 	 p.Locus
(449, 6):for 	 p.Duration
(449, 7):over 	 p.Approximator
(450, 7):of 	 p.Characteristic
(450, 11):than 	 p.ComparisonRef
(450, 14):from 	 p.Originator
(450, 21):as 	 p.Manner
(450, 25):by 	 p.Agent
(450, 28):in 	 p.Manner
(450, 31):in 	 p.Locus
(451, 8):in 	 p.Locus
(451, 9):our 	 p.SocialRel
(452, 3):at 	 p.Locus
(453, 6):of 	 p.Org
(453, 11):of 	 p.QuantityItem
(453, 12):my 	 p.SocialRel
(454, 3):with 	 p.SocialRel
(454, 13):his 	 p.Possessor
(455, 9):to 	 p.Purpose
(455, 31):about 	 p.Topic
(455, 40):in 	 p.Circumstance
(455, 41):his 	 p.Beneficiary
(456, 3):of 	 p.Species
(457, 6):my 	 p.Possessor
(458, 7):my 	 p.Possessor
(458, 19):with 	 p.Agent
(458, 32):on 	 p.Topic
(458, 39):to 	 p.Experiencer
(459, 5):your 	 p.Possessor
(459, 7):with 	 p.Theme
(459, 23):your 	 p.Possessor
(460, 8):in 	 p.Topic
(461, 10):between 	 p.Theme
(462, 6):for 	 p.ComparisonRef
(463, 11):down 	 p.Direction
(463, 12):to 	 p.Goal
(463, 22):their 	 p.SocialRel
(464, 5):with 	 p.Stimulus
(464, 8):of 	 p.Agent
(465, 1):Our 	 p.Possessor
(465, 12):to 	 p.Purpose
(466, 5):before 	 p.Time
(467, 7):their 	 p.Agent
(468, 8):our 	 p.Possessor
(469, 6):with 	 p.Topic
(469, 7):your 	 p.Possessor
(470, 5):for 	 p.Beneficiary
(471, 8):for 	 p.Beneficiary
(471, 9):my 	 p.SocialRel
(472, 6):of 	 p.QuantityItem
(472, 7):my 	 p.SocialRel
(473, 12):with 	 p.Stimulus
(474, 1):After 	 p.Time
(474, 4):to 	 p.Goal
(474, 11):for 	 p.Theme
(474, 20):for 	 p.Purpose
(475, 4):with 	 p.Stimulus
(475, 15):of 	 p.Gestalt
(475, 21):to 	 p.Goal
(476, 11):for 	 p.ComparisonRef
(477, 1):After 	 p.Time
(477, 2):our 	 p.Agent
(477, 5):our 	 p.SocialRel
(477, 11):in 	 p.Locus
(477, 31):to 	 p.Stimulus
(477, 50):their 	 p.Possessor
(478, 8):at 	 p.Locus
(479, 2):of 	 p.QuantityItem
(479, 10):with 	 p.Topic
(480, 3):our 	 p.Possessor
(480, 6):for 	 p.Purpose
(480, 9):to 	 p.Theme
(481, 4):back 	 p.Direction
(481, 6):to 	 p.Purpose
(482, 4):for 	 p.Purpose
(483, 2):for 	 p.Frequency
(483, 6):in 	 p.Time
(483, 13):in 	 p.Time
(484, 4):our 	 p.Experiencer
(484, 6):to 	 p.Recipient
(484, 35):on 	 p.Circumstance
(484, 36):our 	 p.Agent
(485, 5):of 	 p.Gestalt
(485, 23):of 	 p.QuantityItem
(485, 25):in 	 p.Purpose
(486, 1):At 	 p.Time
(486, 4):during 	 p.Time
(486, 20):his 	 p.Whole
(487, 6):in 	 p.Org
(487, 7):my 	 p.OrgMember
(487, 13):to 	 p.Goal
(488, 11):in 	 p.Goal
(489, 9):with 	 p.Theme
(489, 11):of 	 p.QuantityItem
(489, 20):for 	 p.Beneficiary
(490, 4):at 	 p.Locus
(490, 6):of 	 p.QuantityItem
(490, 15):before 	 p.Time
(490, 17):my 	 p.Possessor
(491, 5):at 	 p.Cost
(492, 8):of 	 p.QuantityItem
(492, 10):to 	 p.Purpose
(493, 2):for 	 p.Explanation
(493, 7):on 	 p.Theme
(493, 8):my 	 p.Possessor
(493, 11):of 	 p.Stuff
(494, 1):My 	 p.SocialRel
(494, 5):her 	 p.Possessor
(494, 10):for 	 p.Purpose
(495, 4):after 	 p.Time
(496, 14):it 	 p.Direction
(497, 12):to 	 p.Theme
(498, 2):of 	 p.QuantityItem
(498, 5):after 	 p.Time
(498, 6):their 	 p.Agent
(499, 4):their 	 p.Force
(499, 13):to 	 p.Goal
(499, 14):my 	 p.SocialRel
(499, 16):'s 	 p.SocialRel
(499, 21):back 	 p.Direction
(499, 22):to 	 p.Purpose
(500, 7):for 	 p.Purpose
(500, 13):as 	 p.Characteristic
(500, 15):as 	 p.ComparisonRef
(501, 6):for 	 p.Theme
(502, 8):for 	 p.ComparisonRef
(503, 1):In 	 p.Time
(503, 17):than 	 p.ComparisonRef
(503, 35):with 	 p.Theme
(504, 4):for 	 p.Purpose
(504, 8):during 	 p.Time
(504, 17):with 	 p.Characteristic
(504, 18):about 	 p.Approximator
(505, 3):over 	 p.Approximator
(505, 7):our 	 p.Possessor
(505, 9):to 	 p.Purpose
(505, 13):by 	 p.Time
(505, 16):my 	 p.SocialRel
(506, 7):for 	 p.Purpose
(507, 5):for 	 p.Duration
(507, 15):with 	 p.Characteristic
(507, 18):before 	 p.Time
(507, 28):my 	 p.Possessor
(508, 11):before 	 p.Time
(508, 12):their 	 p.Gestalt
(509, 1):Their 	 p.OrgMember
(509, 9):like 	 p.Manner
(509, 13):into 	 p.Goal
(510, 6):of 	 p.ComparisonRef
(510, 10):in 	 p.Manner
(511, 6):through 	 p.Org
(511, 12):of 	 p.QuantityItem
(511, 13):their 	 p.Originator
(512, 10):to 	 p.Theme
(512, 12):in 	 p.Path
(513, 5):for 	 p.Purpose
(513, 6):my 	 p.Possessor
(513, 28):for 	 p.Purpose
(514, 11):of 	 p.QuantityItem
(514, 16):to 	 p.Theme
(514, 21):to 	 p.Theme
(514, 24):of 	 p.Gestalt
(515, 1):Their 	 p.Originator
(515, 5):at 	 p.Cost
(515, 9):of 	 p.Gestalt
(515, 11):for 	 p.Theme
(516, 2):to 	 p.Experiencer
(516, 4):like 	 p.Theme
(516, 9):than 	 p.ComparisonRef
(517, 3):in 	 p.Stimulus
(517, 14):their 	 p.SocialRel
(517, 16):for 	 p.Theme
(517, 20):of 	 p.Gestalt
(518, 1):As 	 p.Identity
(518, 8):my 	 p.SocialRel
(518, 15):at 	 p.Org
(519, 3):with 	 p.Ancillary
(519, 5):for 	 p.Duration
(519, 6):over 	 p.Approximator
(519, 13):our 	 p.Possessor
(520, 2):'s 	 p.Experiencer
(520, 4):of 	 p.Topic
(520, 9):in 	 p.Locus
(520, 10):our 	 p.Gestalt
(520, 18):in 	 p.Topic
(520, 19):our 	 p.Agent
(521, 6):to 	 p.Recipient
(521, 9):for 	 p.Theme
(521, 12):in 	 p.Locus
(522, 3):her 	 p.Gestalt
(523, 12):of 	 p.Whole
(524, 1):Since 	 p.Explanation
(524, 5):at 	 p.Locus
(524, 11):around 	 p.Locus
(524, 12):to 	 p.Purpose
(525, 3):after 	 p.Time
(526, 3):of 	 p.Species
(527, 4):my 	 p.Possessor
(527, 6):in 	 p.Duration
(528, 8):to 	 p.Purpose
(528, 20):for 	 p.Cost
(529, 8):4 	 p.Explanation
(530, 8):to 	 p.Recipient
(531, 6):at 	 p.Locus
(531, 13):at 	 p.Stimulus
(532, 5):of 	 p.QuantityItem
(532, 9):of 	 p.QuantityItem
(532, 14):with 	 p.Stimulus
(532, 15):our 	 p.Possessor
(533, 11):of 	 p.Topic
(533, 14):on 	 p.Locus
(533, 15):their 	 p.Possessor
(534, 3):my 	 p.Agent
(535, 7):of 	 p.QuantityItem
(535, 9):about 	 p.Topic
(535, 10):your 	 p.Agent
(535, 12):since 	 p.Explanation
(535, 13):your 	 p.Experiencer
(535, 16):as 	 p.Characteristic
(535, 18):as 	 p.ComparisonRef
(536, 7):in 	 p.Locus
(537, 3):our 	 p.Gestalt
(537, 6):about 	 p.Approximator
(538, 5):before 	 p.Locus
(539, 6):about 	 p.Approximator
(540, 16):of 	 p.QuantityItem
(540, 21):in 	 p.Direction
(540, 22):without 	 p.Manner
(540, 24):there 	 p.Gestalt
(541, 7):by 	 p.Originator
(541, 15):your 	 p.Gestalt
(542, 10):his 	 p.Agent
(542, 12):with 	 p.Manner
(543, 6):his 	 p.Agent
(544, 6):as 	 p.Identity
(545, 1):My 	 p.Agent
(545, 27):before 	 p.Time
(546, 6):to 	 p.Purpose
(546, 8):your 	 p.Whole
(547, 14):my 	 p.Whole
(548, 4):my 	 p.Whole
(548, 19):your 	 p.Whole
(549, 6):during 	 p.Time
(550, 7):their 	 p.Possessor
(550, 9):before 	 p.Time
(550, 11):from 	 p.Originator
(551, 11):from 	 p.Originator
(552, 6):in 	 p.Circumstance
(552, 11):for 	 p.Beneficiary
(552, 16):my 	 p.Possessor
(553, 7):for 	 p.Theme
(554, 1):My 	 p.Possessor
(554, 13):to 	 p.Goal
(554, 14):my 	 p.OrgMember
(555, 5):our 	 p.SocialRel
(556, 6):to 	 p.Goal
(556, 8):on 	 p.Time
(557, 4):my 	 p.SocialRel
(557, 7):for 	 p.Purpose
(557, 14):his 	 p.SocialRel
(558, 1):My 	 p.SocialRel
(559, 9):on 	 p.Goal
(559, 23):into 	 p.Locus
(560, 3):with 	 p.Characteristic
(560, 13):to 	 p.Purpose
(561, 10):at 	 p.Locus
(561, 18):at 	 p.Locus
(562, 4):your 	 p.Originator
(562, 19):of 	 p.Topic
(563, 7):to 	 p.Recipient
(563, 11):than 	 p.ComparisonRef
(563, 12):with 	 p.Topic
(564, 6):about 	 p.Topic
(564, 10):to 	 p.Recipient
(565, 25):with 	 p.Theme
(565, 29):for 	 p.Purpose
(566, 5):up 	 p.Direction
(566, 6):to 	 p.Goal
(566, 14):of 	 p.QuantityItem
(566, 16):up 	 p.Locus
(567, 12):between 	 p.Locus
(568, 6):than 	 p.ComparisonRef
(568, 9):'s 	 p.Agent
(569, 14):inside 	 p.Locus
(570, 6):our 	 p.Possessor
(571, 5):my 	 p.Originator
(572, 4):in 	 p.Locus
(572, 18):in 	 p.Theme
(573, 10):in 	 p.Time
(574, 3):in 	 p.Locus
(575, 7):to 	 p.Goal
(575, 8):my 	 p.Originator
(576, 4):in 	 p.Locus
(576, 13):in 	 p.Locus
(576, 14):their 	 p.Possessor
(577, 12):for 	 p.Circumstance
(578, 12):by 	 p.Agent
(578, 16):at 	 p.Locus
(578, 22):my 	 p.SocialRel
(578, 30):in 	 p.Locus
(578, 31):their 	 p.Possessor
(579, 13):with 	 p.Characteristic
(579, 18):off 	 p.Direction
(580, 1):After 	 p.Explanation
(580, 3):at 	 p.Stimulus
(581, 8):my 	 p.SocialRel
(582, 11):home 	 p.Goal
(583, 7):of 	 p.Gestalt
(584, 8):in 	 p.Locus
(585, 13):like 	 p.Identity
(585, 26):in 	 p.Stimulus
(585, 27):their 	 p.Originator
(586, 4):in 	 p.Locus
(587, 6):of 	 p.Whole
(587, 14):into 	 p.Goal
(587, 15):in 	 p.Time
(588, 4):about 	 p.Topic
(589, 1):After 	 p.Explanation
(589, 3):to 	 p.Goal
(589, 19):back 	 p.Direction
(590, 4):back 	 p.Direction
(590, 8):about 	 p.Topic
(591, 1):My 	 p.Experiencer
(591, 5):in 	 p.Locus
(592, 6):for 	 p.Duration
(593, 33):in 	 p.Locus
(593, 36):for 	 p.Purpose
(594, 10):to 	 p.ComparisonRef
(595, 11):their 	 p.Originator
(596, 7):with 	 p.PartPortion
(596, 8):your 	 p.Agent
(596, 10):of 	 p.Topic
(597, 2):their 	 p.Originator
(598, 5):in 	 p.Locus
(598, 8):off 	 p.Locus
(599, 2):my 	 p.SocialRel
(599, 5):with 	 p.Locus
(600, 2):their 	 p.Agent
(600, 4):for 	 p.Frequency
(600, 12):by 	 p.Stimulus
(600, 13):their 	 p.Gestalt
(600, 21):after 	 p.Time
(600, 25):to 	 p.Purpose
(600, 33):of 	 p.Possession
(600, 34):my 	 p.Originator
(600, 37):To 	 p.Goal
(600, 43):as 	 p.ComparisonRef
(601, 6):as 	 p.ComparisonRef
(601, 10):in 	 p.Locus
(601, 14):of 	 p.Characteristic
(602, 4):to 	 p.Recipient
(603, 5):to 	 p.Recipient
(604, 7):to 	 p.Extent
(605, 3):from 	 p.Source
(605, 7):of 	 p.Topic
(605, 11):to 	 p.Goal
(605, 19):in 	 p.Locus
(606, 11):to 	 p.Org
(606, 13):in 	 p.Locus
(607, 3):to 	 p.Purpose
(607, 12):at 	 p.Locus
(608, 8):until 	 p.EndTime
(608, 12):to 	 p.Goal
(609, 8):to 	 p.Goal
(609, 13):around 	 p.Locus
(610, 8):like 	 p.Manner
(611, 14):by 	 p.SetIteration
(611, 18):with 	 p.Circumstance
(611, 22):under 	 p.Locus
(611, 25):in 	 p.Locus
(612, 3):like 	 p.Manner
(612, 7):back 	 p.Direction
(613, 5):for 	 p.Explanation
(613, 9):on 	 p.Topic
(614, 10):their 	 p.Agent
(615, 8):to 	 p.Purpose
(615, 13):of 	 p.Gestalt
(615, 21):to 	 p.Experiencer
(616, 8):of 	 p.QuantityItem
(616, 11):in 	 p.Locus
(616, 12):my 	 p.Possessor
(616, 17):ago 	 p.Time
(617, 6):without 	 p.Circumstance
(617, 18):my 	 p.Originator
(618, 3):ago 	 p.Time
(618, 10):into 	 p.Goal
(618, 13):of 	 p.Whole
(618, 14):my 	 p.Possessor
(619, 6):of 	 p.Whole
(620, 9):with 	 p.Instrument
(620, 19):with 	 p.Instrument
(621, 1):My 	 p.SocialRel
(621, 20):away 	 p.Direction
(621, 25):their 	 p.Possessor
(622, 9):to 	 p.Purpose
(622, 14):for 	 p.Purpose
(622, 34):for 	 p.Possession
(622, 44):under 	 p.Manner
(622, 45):their 	 p.Originator
(623, 1):Their 	 p.SocialRel
(623, 6):of 	 p.QuantityItem
(623, 7):my 	 p.Possessor
(623, 13):for 	 p.Beneficiary
(624, 15):with 	 p.OrgMember
(625, 15):'s 	 p.SocialRel
(626, 4):with 	 p.Topic
(626, 5):my 	 p.Gestalt
(626, 9):with 	 p.Ancillary
(626, 10):my 	 p.Possessor
(626, 12):to 	 p.Purpose
(626, 15):for 	 p.Theme
(627, 10):his 	 p.Possessor
(627, 12):with 	 p.Beneficiary
(628, 15):into 	 p.Goal
(628, 16):their 	 p.OrgMember
(628, 31):outside 	 p.Locus
(628, 32):in 	 p.Locus
(628, 44):after 	 p.Time
(628, 50):of 	 p.Topic
(629, 9):than 	 p.ComparisonRef
(629, 14):of 	 p.Gestalt
(630, 5):of 	 p.Identity
(630, 10):to 	 p.Purpose
(631, 10):with 	 p.Means
(632, 4):of 	 p.QuantityItem
(632, 32):like 	 p.ComparisonRef
(633, 17):like 	 p.Theme
(633, 29):about 	 p.Stimulus
(634, 1):With 	 p.Characteristic
(634, 3):than 	 p.ComparisonRef
(635, 13):its 	 p.Agent
(635, 17):its 	 p.Agent
(635, 22):its 	 p.Gestalt
(635, 24):in 	 p.Topic
(636, 14):by 	 p.Agent
(637, 5):of 	 p.QuantityItem
(637, 8):for 	 p.Beneficiary
(638, 6):our 	 p.SocialRel
(638, 10):our 	 p.Possessor
(639, 3):our 	 p.Possessor
(640, 4):in 	 p.Locus
(640, 10):for 	 p.Duration
(640, 22):until 	 p.EndTime
(641, 5):with 	 p.Stimulus
(641, 6):my 	 p.Experiencer
(642, 2):of 	 p.QuantityItem
(643, 1):My 	 p.Whole
(644, 8):to 	 p.Recipient
(645, 3):our 	 p.Possessor
(646, 7):for 	 p.Explanation
(646, 13):on 	 p.Theme
(646, 14):our 	 p.Possessor
(647, 9):on 	 p.Theme
(648, 6):to 	 p.Recipient
(648, 8):of 	 p.QuantityItem
(648, 9):our 	 p.SocialRel
(649, 3):IN 	 p.Locus
(650, 4):for 	 p.Duration
(650, 24):in 	 p.Characteristic
(651, 6):at 	 p.Org
(652, 7):in 	 p.Time
(652, 10):of 	 p.QuantityItem
(652, 25):my 	 p.SocialRel
(653, 6):to 	 p.Recipient
(654, 1):After 	 p.Time
(654, 16):from 	 p.StartTime
(654, 18):to 	 p.EndTime
(655, 4):from 	 p.PartPortion
(655, 7):to 	 p.PartPortion
(655, 15):my 	 p.Gestalt
(655, 27):as 	 p.Circumstance
(656, 7):to 	 p.Purpose
(656, 25):to 	 p.Experiencer
(657, 1):My 	 p.SocialRel
(657, 17):of 	 p.Stimulus
(658, 12):back 	 p.Direction
(659, 6):of 	 p.QuantityItem
(659, 7):its 	 p.SocialRel
(659, 12):its 	 p.Theme
(659, 14):with 	 p.Theme
(660, 16):with 	 p.ComparisonRef
(661, 11):as 	 p.Characteristic
(661, 13):as 	 p.ComparisonRef
(661, 20):like 	 p.Manner
(661, 24):to 	 p.Recipient
(661, 25):his 	 p.SocialRel
(661, 29):his 	 p.SocialRel
(662, 3):for 	 p.Possession
(662, 8):about 	 p.Approximator
(662, 16):of 	 p.Theme
(663, 6):of 	 p.Stimulus
(663, 10):until 	 p.EndTime
(663, 16):by 	 p.Agent
(664, 8):his 	 p.Agent
(665, 1):My 	 p.Experiencer
(665, 16):my 	 p.Agent
(666, 14):with 	 p.Stimulus
(666, 15):his 	 p.Experiencer
(666, 19):in 	 p.Topic
(666, 24):of 	 p.Gestalt
(666, 25):his 	 p.SocialRel
(666, 28):his 	 p.Agent
(666, 32):by 	 p.Force
(666, 36):of 	 p.Identity
(666, 38):to 	 p.Beneficiary
(667, 10):to 	 p.Purpose
(668, 5):my 	 p.Theme
(668, 7):for 	 p.Duration
(669, 8):and 	 p.Characteristic
(669, 17):with 	 p.Stimulus
(669, 18):their 	 p.Agent
(670, 12):of 	 p.Gestalt
(671, 5):as 	 p.Approximator
(671, 7):as 	 p.ComparisonRef
(671, 10):from 	 p.Originator
(672, 7):about 	 p.Stimulus
(673, 6):for 	 p.Purpose
(673, 12):of 	 p.QuantityItem
(674, 16):your 	 p.Possessor
(674, 18):'s 	 p.Theme
(675, 9):as 	 p.Identity
(676, 9):with 	 p.Topic
(676, 10):their 	 p.Possessor
(677, 8):from 	 p.StartTime
(677, 10):to 	 p.EndTime
(678, 6):your 	 p.Experiencer
(679, 14):for 	 p.Purpose
(679, 15):my 	 p.Experiencer
(680, 3):on 	 p.Locus
(680, 6):in 	 p.Locus
(681, 6):by 	 p.Means
(681, 16):at 	 p.Locus
(681, 19):on 	 p.Locus
(682, 10):in 	 p.Locus
(682, 13):as 	 p.Explanation
(682, 16):in 	 p.Locus
(683, 3):in 	 p.Locus
(683, 6):ago 	 p.Time
(683, 16):in 	 p.Time
(683, 17):my 	 p.Theme
(684, 4):of 	 p.QuantityItem
(684, 11):by 	 p.Agent
(685, 3):my 	 p.Whole
(685, 5):in 	 p.Goal
(686, 4):my 	 p.Whole
(686, 8):my 	 p.Whole
(686, 10):back 	 p.Direction
(687, 13):on 	 p.Gestalt
(687, 16):of 	 p.QuantityItem
(688, 2):of 	 p.QuantityItem
(688, 7):their 	 p.Agent
(689, 9):from 	 p.Source
(689, 11):without 	 p.Manner
(690, 14):on 	 p.Time
(690, 15):my 	 p.Agent
(691, 10):for 	 p.Beneficiary
(692, 5):back 	 p.Direction
(692, 6):to 	 p.Recipient
(693, 6):to 	 p.Recipient
(694, 4):your 	 p.Experiencer
(695, 1):After 	 p.Time
(695, 6):for 	 p.Theme
(696, 5):from 	 p.Locus
(696, 15):to 	 p.Goal
(696, 18):in 	 p.Locus
(697, 8):of 	 p.Possession
(697, 10):for 	 p.Cost
(698, 8):of 	 p.Org
(698, 12):for 	 p.Duration
(698, 14):over 	 p.Approximator
(698, 22):their 	 p.OrgMember
(698, 28):ago 	 p.Time
(699, 6):of 	 p.Gestalt
(699, 21):your 	 p.Experiencer
(699, 24):at 	 p.Cost
(700, 6):with 	 p.Stimulus
(700, 17):to 	 p.Recipient
(700, 30):by 	 p.Agent
(700, 33):her 	 p.SocialRel
(701, 6):as 	 p.Identity
(701, 7):my 	 p.SocialRel
(701, 11):in 	 p.Time
(701, 12):my 	 p.Theme
(701, 16):my 	 p.Whole
(701, 24):then 	 p.ComparisonRef
(701, 35):my 	 p.SocialRel
(702, 3):for 	 p.Explanation
(702, 7):my 	 p.Whole
(703, 4):in 	 p.Circumstance
(703, 5):your 	 p.Agent
(703, 10):in 	 p.Manner
(703, 11):my 	 p.Gestalt
(704, 1):Our 	 p.Possessor
(705, 4):like 	 p.Theme
(705, 14):at 	 p.Locus
(705, 22):of 	 p.Stuff
(705, 24):over 	 p.Goal
(705, 25):to 	 p.Purpose
(706, 5):of 	 p.QuantityItem
(707, 1):Our 	 p.Possessor
(707, 4):of 	 p.Manner
(707, 17):after 	 p.Time
(708, 7):without 	 p.Circumstance
(708, 17):into 	 p.Path
(709, 4):our 	 p.Possessor
(709, 7):by 	 p.Agent
(709, 18):with 	 p.Stimulus
(710, 1):From 	 p.PartPortion
(710, 4):of 	 p.Gestalt
(710, 7):with 	 p.Ancillary
(710, 9):to 	 p.Purpose
(710, 12):during 	 p.Time
(710, 17):to 	 p.PartPortion
(710, 20):through 	 p.Duration
(710, 24):to 	 p.PartPortion
(710, 28):of 	 p.Gestalt
(711, 4):in 	 p.Locus
(712, 5):of 	 p.Characteristic
(712, 8):of 	 p.Gestalt
(713, 15):from 	 p.Source
(714, 4):to 	 p.Stimulus
(714, 17):on 	 p.Topic
(715, 2):my 	 p.Possessor
(715, 6):for 	 p.Explanation
(716, 9):with 	 p.Circumstance
(716, 11):in 	 p.Locus
(716, 13):to 	 p.Purpose
(716, 15):their 	 p.Agent
(717, 7):down 	 p.Path
(718, 7):back 	 p.Direction
(718, 8):after 	 p.Time
(719, 4):back 	 p.Direction
(719, 5):with 	 p.Characteristic
(720, 15):at 	 p.Stimulus
(720, 17):before 	 p.Time
(721, 8):with 	 p.Ancillary
(721, 10):to 	 p.Purpose
(721, 12):their 	 p.Gestalt
(722, 9):with 	 p.Theme
(722, 25):home 	 p.Goal
(723, 7):from 	 p.Originator
(724, 1):For 	 p.ComparisonRef
(724, 4):like 	 p.Identity
(724, 11):of 	 p.Species
(725, 11):to 	 p.Theme
(725, 15):through 	 p.Instrument
(725, 29):to 	 p.Purpose
(726, 7):in 	 p.Locus
(727, 8):for 	 p.Purpose
(727, 14):my 	 p.Possessor
(728, 10):in 	 p.Characteristic
(728, 16):to 	 p.Goal
(728, 17):my 	 p.Possessor
(729, 9):for 	 p.Duration
(729, 12):of 	 p.Gestalt
(730, 25):to 	 p.Purpose
(731, 6):like 	 p.Theme
(731, 14):of 	 p.QuantityItem
(732, 3):at 	 p.Org
(733, 5):about 	 p.Topic
(733, 8):of 	 p.Gestalt
